items,item_type,esdc_domain,edit_type,edit_reason,LMIC_Label,March_4_add,edit_type_software
3D Design,Knowledge,Knowledge,Knowledge,,3D Design,0,Knowledge
3D graphics software,Tools and technology,Tools and technology,Tools and technology,,3D graphics software,0,Tech - Software
3D modelling,Other,Work activities,Tools and technology,,3D modelling,0,Tech - Software
3D Printing,Other,Work activities,Tools and technology,,3D Printing,0,Tech - Software
3D Scanning,Other,Work activities,Tools and technology,,3D Scanning,0,Tech - Software
3M Encoder,Tools and technology,Tools and technology,Tools and technology,,3M Encoder,0,Tech - Software
3PL Central,Tools and technology,Tools and technology,Tools and technology,,3PL Central,0,Tech - Software
5S Methodology,Knowledge,Knowledge,Knowledge,,5S Methodology,0,Tech - Software
Ab Initio,Tools and technology,Tools and technology,Tools and technology,,Ab Initio,0,Tech - Software
Abbot,Other,?,Tools and technology,,Abbot Informatics,0,Tech - Software
Ability to Learn,Skills,Skills,Skills,,Ability to Learn,0,Skills
Accelerometers,Tools and technology,Tools and technology,Tools and technology,,Accelerometers,0,Tools and technology
Acceptance Test Procedures,Other,?,Knowledge,Used in the design and testing of software,Acceptance Test Procedures,0,Knowledge
Access control systems,Tools and technology,Tools and technology,Tools and technology,,Access control systems,0,Tools and technology
Access management software,Tools and technology,Tools and technology,Tools and technology,,Access management software,0,Tech - Software
Access servers,Tools and Equipment,,Tools and technology,,Access servers,1,Tech - Software
Account management software,Tools and technology,Tools and technology,Tools and technology,,Account management software,0,Tech - Software
Accounting,Other,Work activities,Knowledge,,Accounting,0,Knowledge
Accounting software,Tools and technology,Tools and technology,Tools and technology,,Accounting software,0,Tech - Software
Accounts payable software,Tools and technology,Tools and technology,Tools and technology,,Accounts payable software,0,Tech - Software
ACE Dental,Other,Work context,Remove,Name of a dentist chain,,0,Remove
ACL Analytics,Tools and technology,Tools and technology,Tools and technology,,ACL Analytics,0,Tech - Software
Acoustic guitars,Tools and technology,Tools and technology,Tools and technology,,Acoustic guitars,0,Tools and technology
ActionScript,Tools and technology,Tools and technology,Tools and technology,,ActionScript,0,Tech - Software
Acumatica,Tools and technology,Tools and technology,Tools and technology,,Acumatica,0,Tech - Software
Ada,Other,?,Tools and technology,programming language,Ada,0,Tech - Software
Adaptive Planning,Skills,Skills,Skills,,Adaptive Planning,0,Skills
"Admissions, discharge, and transfer ADT software",Tools and technology,Tools and technology,Tools and technology,,"Admissions, discharge, and transfer ADT software",0,Tech - Software
Adobe Systems Adobe Acrobat,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Acrobat,0,Tech - Software
Adobe Systems Adobe After Effects,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe After Effects,0,Tech - Software
Adobe Systems Adobe Audition,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Audition,0,Tech - Software
Adobe Systems Adobe Captivate,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Captivate,0,Tech - Software
Adobe Systems Adobe ColdFusion,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe ColdFusion,0,Tech - Software
Adobe Systems Adobe Connect,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Connect,0,Tech - Software
Adobe Systems Adobe Contribute,Tools and technology,Tools and technology,Tools and technology,This is a discontinued product,Adobe Systems Adobe Contribute,0,Tech - Software
Adobe Systems Adobe Creative Cloud,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Creative Cloud,0,Tech - Software
Adobe Systems Adobe Creative Suite,Tools and technology,Tools and technology,Tools and technology,This is a discontinued product,Adobe Systems Adobe Creative Suite,0,Tech - Software
Adobe Systems Adobe Dreamweaver,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Dreamweaver,0,Tech - Software
Adobe Systems Adobe Flex,Tools and technology,Tools and technology,Tools and technology,Developed by Adobe but now licensed by Apache -- Apache Flex,Apache Flex,0,Tech - Software
Adobe Systems Adobe FrameMaker,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe FrameMaker,0,Tech - Software
Adobe Systems Adobe FreeHand,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe FreeHand,0,Tech - Software
Adobe Systems Adobe Illustrator,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Illustrator,0,Tech - Software
Adobe Systems Adobe InDesign,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe InDesign,0,Tech - Software
Adobe Systems Adobe Photoshop,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Photoshop,0,Tech - Software
Adobe Systems Adobe Photoshop Lightroom,Tools and technology,Tools and technology,Tools and technology,,Adobe Lightroom,0,Tech - Software
Adobe Systems Adobe Premiere Pro,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Premiere Pro,0,Tech - Software
Adobe Systems Adobe Reader,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Acrobat,0,Tech - Software
Adobe Systems Adobe RoboHelp,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe RoboHelp,0,Tech - Software
Adobe Systems Adobe Writer,Tools and technology,Tools and technology,Tools and technology,,Adobe Systems Adobe Acrobat,0,Tech - Software
ADP software,Tools and technology,Tools and technology,Tools and technology,,Automatic Data Processing ADP software,0,Tech - Software
Adult Literature,Knowledge,added,Knowledge,,Adult Literature,0,Knowledge
Advanced business application programming ABAP,Tools and technology,Tools and technology,Tools and technology,,Advanced business application programming ABAP,0,Tech - Software
Advanced product quality planning (APQP),Knowledge,Knowledge,Knowledge,,Advanced product quality planning (APQP),0,Knowledge
Advocacy Skills,Skills,Skills,Skills,,Advocacy Skills,0,Skills
Aerators,Tools and technology,Tools and technology,Tools and technology,,Aerators,0,Tools and technology
Aerial bucket trucks,Tools and technology,Tools and technology,Tools and technology,,Bucket trucks,0,Tools and technology
Aerial lift trucks,Tools and technology,Tools and technology,Tools and technology,,Bucket trucks,0,Tools and technology
Aerial lifts,Tools and technology,Tools and technology,Tools and technology,,Boom lift,0,Tools and technology
Agar plates,Tools and technology,Tools and technology,Tools and technology,,Agar plates,0,Tools and technology
Agile Software Development,Knowledge,Knowledge,Knowledge,,Agile Software Development,0,Knowledge
Air brake hoses,Tools and technology,Tools and technology,Tools and technology,,Air brake hoses,0,Tools and technology
Air compressors,Tools and technology,Tools and technology,Tools and technology,,Air compressors,0,Tools and technology
Air conditioning systems,Tools and technology,Tools and technology,Tools and technology,,Air conditioning systems,0,Tools and technology
Air conditioning units,Tools and technology,Tools and technology,Tools and technology,,Air conditioning units,0,Tools and technology
Air grinders,Tools and technology,Tools and technology,Tools and technology,,Air grinders,0,Tools and technology
Air guns,Tools and technology,Tools and technology,Tools and technology,,Air guns,0,Tools and technology
Air monitoring equipment,Tools and technology,Tools and technology,Tools and technology,,Air monitoring equipment,0,Tools and technology
Air scrubbers,Tools and technology,Tools and technology,Tools and technology,,Air scrubbers,0,Tools and technology
Air tanks,Tools and technology,Tools and technology,Tools and technology,,Air tanks,0,Tools and technology
Airless spray equipment,Tools and technology,Tools and technology,Tools and technology,,Airless spray equipment,0,Tools and technology
Airline global distribution systems GDS software,Tools and technology,Tools and technology,Tools and technology,,Airline global distribution systems GDS software,0,Tech - Software
Airport surveillance radar ASR systems,Tools and technology,Tools and technology,Tools and technology,,Airport surveillance radar ASR systems,0,Tech - Software
AJAX,Tools and technology,Tools and technology,Knowledge,This is a set of a method that combines different technologies to build websites,AJAX,0,Knowledge
Alarm systems,Tools and technology,Tools and technology,Tools and technology,,Alarm systems,0,Tools and technology
Aligners,Tools and technology,Tools and technology,Tools and technology,,Aligners,0,Tools and technology
Alignment tools,Tools and technology,Tools and technology,Tools and technology,,Alignment tools,0,Tools and technology
All terrain vehicles ATV,Tools and technology,Tools and technology,Tools and technology,,All terrain vehicles ATV,0,Tools and technology
Allscripts,Other,Work context,Tools and technology,Type of management practice and electronic records software used in hospitals,Allscripts,0,Tech - Software
Altium Designer,Tools and technology,Tools and technology,Tools and technology,,Altium Designer,0,Tech - Software
Aluminum ladders,Tools and technology,Tools and technology,Tools and technology,,Aluminum ladders,0,Tools and technology
Amazon Data Pipeline,Tools and technology,Tools and technology,Tools and technology,,Amazon Data Pipeline,0,Tech - Software
Amazon DynamoDB,Tools and technology,Tools and technology,Tools and technology,,Amazon DynamoDB,0,Tech - Software
Amazon Kinesis,Tools and technology,Tools and technology,Tools and technology,,Amazon Kinesis,0,Tech - Software
Amazon Web Services (AWS),Tools and technology,Tools and technology,Tools and technology,,Amazon Web Services (AWS),0,Tech - Software
American Sign Language (ASL),Knowledge,Knowledge,Knowledge,,American Sign Language (ASL),0,Knowledge
Ammeters,Tools and technology,Tools and technology,Tools and technology,,Ammeters,0,Tools and technology
AMPL (A mathematical programming language),Technologies,,Tools and technology,,AMPL (A mathematical programming language),1,Tech - Software
Analytical balances,Tools and technology,Tools and technology,Tools and technology,,Analytical balances,0,Tools and technology
Analytical Skills,Skills,Skills,Skills,,Analytical Skills,0,Skills
Analytical software,Tools and technology,Tools and technology,Tools and technology,,Analytical software,0,Tech - Software
Analyz,Tools and technology,Tools and technology,Tools and technology,,Analyz,0,Tech - Software
Android,Tools and technology,Tools and technology,Tools and technology,,Android,0,Tech - Software
Anesthesia machines,Tools and technology,Tools and technology,Tools and technology,,Anesthesia machines,0,Tools and technology
Angle finders,Tools and technology,Tools and technology,Tools and technology,,Angle finders,0,Tools and technology
AngularJS,Tools and technology,Tools and technology,Tools and technology,,AngularJS,0,Tech - Software
Animal traps,Tools and technology,Tools and technology,Tools and technology,,Animal traps,0,Tools and technology
Animation software,Tools and technology,Tools and technology,Tools and technology,,Animation software,0,Tech - Software
ANSYS,Tools and technology,Tools and technology,Tools and technology,,ANSYS,0,Tech - Software
ANSYS FLUENT,Technologies,,Tools and technology,,Ansys Fluent,1,Tech - Software
Antivirus software,Tools and technology,Tools and technology,Tools and technology,,Antivirus software,0,Tech - Software
Apache Ant,Tools and technology,Tools and technology,Tools and technology,,Apache Ant,0,Tech - Software
Apache Avro,Tools and technology,Tools and technology,Tools and technology,,Apache Avro,0,Tech - Software
